FuntionalGroup	SMARTS
TinIon	[Sn++++,Sn++]
TinIon	[Sn++++]
TinIon	[Sn++]
Tin	[SnX4,SnX2]
Rhenium	[ReX7,ReX6,ReX4,ReX2]
Iridium	[IrX6,IrX4,IrX3,IrX2]
Platinum	[PtX4,PtX3,PtX2]
Gold	[AuX3,AuX1]
Mercury	[HgX2,HgX1]
Lead	[PbX4,PbX2]
Bismuth	[BiX5,BiX3]
Metalloid	[B,Si,Ge,As,Sb,Te,At]
Boron	[BX3,BX4-]
Silicon	[SiX4,SiX3,SiX2,SiX1,SiX4-,SiX3-,SiX2-,SiX1-]
Germanium	[GeX4,GeX3,GeX2,GeX1,GeX4-,GeX3-,GeX2-,GeX1-]
Arsenic	[AsX5,AsX3,AsX2,AsX1,AsX3-]
Antimony	[SbX5,SbX4+,SbX3,SbX3-]
Tellurium	[TeX6,TeX5,TeX4,TeX2,TeX2-]
PhosphoricAcidDerivative	[PX4D4](=[!#6])([!#6])([!#6])[!#6]
PhosphoricAcid	[PX4D4](=[OX1])([$([OX2H]),$([OX1-])])([$([OX2H]),$([OX1-])])[$([OX2H]),$([OX1-])]
PhosphoricMonoester	[PX4D4](=[OX1])([$([OX2H]),$([OX1-])])([$([OX2H]),$([OX1-])])[OX2][#6;!$(C=[O,N,S])]
PhosphoricDiester	[PX4D4](=[OX1])([$([OX2H]),$([OX1-])])([OX2][#6;!$(C=[O,N,S])])[OX2][#6;!$(C=[O,N,S])]
PhosphoricTriester	[PX4D4](=[OX1])([OX2][#6;!$(C=[O,N,S])])([OX2][#6;!$(C=[O,N,S])])[OX2][#6;!$(C=[O,N,S])]
PhosphoricMonoamide	[PX4D4](=[#8])([#8])([#8])[#7X3H2,#7X3H1,#7X3H0]
PhosphoricDiamide	[PX4D4](=[#8])([#8])([#7X3H2,#7X3H1,#7X3H0])[#7X3H2,#7X3H1,#7X3H0]
PhosphoricTriamide	[PX4D4](=[#8])([#7X3H2,#7X3H1,#7X3H0])([#7X3H2,#7X3H1,#7X3H0])[#7X3H2,#7X3H1,#7X3H0]
Phosphane	[PX3;$([H3]),$([H2][#6]),$([H1]([#6])[#6]),$([H0]([#6])([#6])[#6])]
PhosphineOxide	[PX4;$([H3]=[OX1]),$([H2](=[OX1])[#6]),$([H1](=[OX1])([#6])[#6]),$([H0](=[OX1])([#6])([#6])[#6])]
PhosphonicAcidDerivative	[PX4;$([H1]),$([H0][#6])](=[#8])([!#6])[!#6]
PhosphonicAcid	[PX4;$([H1]),$([H0][#6])](=[OX1])([$([OX2H]),$([OX1-])])[$([OX2H]),$([OX1-])]
PhosphonicMonoester	[PX4;$([H1]),$([H0][#6])](=[OX1])([$([OX2H]),$([OX1-])])[OX2][#6;!$(C=[O,N,S])]
